@relation 'kazova'
@attribute 'Kum' real
@attribute 'Kil' real
@attribute 'Agregat Stabilitesi' real
@attribute 'OM' real
@attribute 'Kirec' real
@attribute 'KDK' real
@data
42.50,38.00,80.48,1.33,6.96,17.83
41.25,37.50,94.93,2.55,10.13,18.17
27.00,45.50,71.15,1.93,8.32,20.90
29.50,43.75,65.47,2.55,7.79,19.47
12.50,53.75,50.66,1.55,3.70,15.48
16.25,47.50,41.56,1.87,5.59,17.75
45.00,30.00,73.15,2.71,4.39,12.57
25.00,50.50,89.40,1.87,9.07,24.90
25.00,40.00,52.06,2.05,7.48,19.28
60.00,20.00,50.23,1.16,6.80,9.11
55.00,22.50,72.73,1.83,7.48,9.65
25.00,40.00,34.33,1.65,3.86,13.74
33.75,35.50,61.72,1.69,5.97,14.46
38.75,35.00,60.19,1.63,9.45,16.13
20.00,37.50,64.72,2.47,9.15,25.14
36.25,37.50,57.23,1.92,6.43,13.03
11.25,52.50,81.77,1.97,6.12,23.78
11.25,48.00,70.11,1.89,5.67,20.29
47.50,28.75,88.24,2.50,6.43,10.16
48.75,25.00,51.71,1.39,6.96,9.04
46.25,28.75,49.12,1.42,14.14,10.22
16.75,52.00,72.45,1.43,5.90,21.82
17.50,50.00,37.90,2.33,4.46,24.31
35.00,32.50,71.87,0.73,8.01,14.70
42.50,33.00,70.60,2.07,9.00,21.82
55.00,22.50,89.17,0.70,8.24,14.78
37.00,32.50,95.33,3.28,17.31,31.66
48.75,23.75,33.77,1.55,7.11,13.51
17.50,53.00,73.70,1.03,9.53,14.63
38.75,30.00,48.17,1.04,9.15,17.17
41.25,30.00,61.92,1.57,7.94,19.73
25.00,36.25,88.46,1.79,8.01,22.67
60.00,22.50,68.71,0.87,7.64,13.51
33.75,27.50,69.85,1.27,7.41,18.26
20.00,35.00,63.95,1.63,7.48,22.38
22.50,32.50,30.46,1.76,7.33,21.17
27.50,23.00,59.17,1.38,7.64,16.43
12.50,42.50,92.78,2.18,7.18,25.60
30.00,40.00,96.11,4.46,12.47,22.86
13.75,50.00,56.61,2.19,5.07,16.68
30.00,27.50,49.32,0.93,11.34,15.95
40.00,28.00,26.34,1.13,7.64,15.59
16.25,47.50,38.94,2.23,7.26,19.24
17.50,47.50,98.04,4.58,7.86,28.50
37.50,28.00,40.87,1.31,9.22,15.82
38.75,30.00,64.52,1.54,7.56,17.16
26.25,31.25,74.93,1.27,8.62,18.15
27.50,30.50,81.05,2.36,8.69,16.21
20.00,36.25,99.09,1.41,7.64,22.55
42.50,30.00,58.79,1.69,6.35,17.25
